algorithm,input_type,n,trial,time_us,comparisons
RadixSort,increasing,10000,4,163,0
RadixSort,increasing,10000,5,175,0
BubbleSort,decreasing,10000,1,36554,49995000
BubbleSort,decreasing,10000,2,36033,49995000
BubbleSort,decreasing,10000,3,36811,49995000
BubbleSort,decreasing,10000,4,36295,49995000
BubbleSort,decreasing,10000,5,34489,49995000
InsertionSort,decreasing,10000,1,21172,49995000
InsertionSort,decreasing,10000,2,20331,49995000
InsertionSort,decreasing,10000,3,20478,49995000
InsertionSort,decreasing,10000,4,20760,49995000
InsertionSort,decreasing,10000,5,20454,49995000
MergeSort,decreasing,10000,1,166,64608
MergeSort,decreasing,10000,2,172,64608
MergeSort,decreasing,10000,3,203,64608
MergeSort,decreasing,10000,4,235,64608
MergeSort,decreasing,10000,5,199,64608
QuickSort_First,decreasing,10000,1,25701,49995000
QuickSort_First,decreasing,10000,2,24994,49995000
QuickSort_First,decreasing,10000,3,25024,49995000
QuickSort_First,decreasing,10000,4,25408,49995000
QuickSort_First,decreasing,10000,5,25662,49995000
QuickSort_Random,decreasing,10000,1,302,154524
QuickSort_Random,decreasing,10000,2,287,154524
QuickSort_Random,decreasing,10000,3,272,154524
QuickSort_Random,decreasing,10000,4,264,154524
QuickSort_Random,decreasing,10000,5,265,154524
QuickSort_Median3,decreasing,10000,1,224,242135
QuickSort_Median3,decreasing,10000,2,226,242135
QuickSort_Median3,decreasing,10000,3,220,242135
QuickSort_Median3,decreasing,10000,4,200,242135
QuickSort_Median3,decreasing,10000,5,220,242135
HeapSort,decreasing,10000,1,506,226682
HeapSort,decreasing,10000,2,565,226682
HeapSort,decreasing,10000,3,532,226682
HeapSort,decreasing,10000,4,472,226682
HeapSort,decreasing,10000,5,462,226682
RadixSort,decreasing,10000,1,152,0
RadixSort,decreasing,10000,2,150,0
RadixSort,decreasing,10000,3,155,0
RadixSort,decreasing,10000,4,149,0
RadixSort,decreasing,10000,5,148,0
InsertionSort,random,50000,1,252821,622224653
InsertionSort,random,50000,2,250493,621115608
InsertionSort,random,50000,3,249689,621017606
InsertionSort,random,50000,4,265568,626401509
InsertionSort,random,50000,5,252494,622620780
MergeSort,random,50000,1,3536,718153
MergeSort,random,50000,2,3436,718358
MergeSort,random,50000,3,3425,718184
MergeSort,random,50000,4,3564,718327
MergeSort,random,50000,5,3454,717930
QuickSort_First,random,50000,1,2718,993574
QuickSort_First,random,50000,2,2676,938688
QuickSort_First,random,50000,3,2691,925689
QuickSort_First,random,50000,4,2684,907563
QuickSort_First,random,50000,5,2701,913994
QuickSort_Random,random,50000,1,2908,1106304
QuickSort_Random,random,50000,2,2899,932397
QuickSort_Random,random,50000,3,2955,896163
QuickSort_Random,random,50000,4,2946,919636
QuickSort_Random,random,50000,5,3012,888882
QuickSort_Median3,random,50000,1,2736,878603
QuickSort_Median3,random,50000,2,2681,872935
QuickSort_Median3,random,50000,3,2679,895347
QuickSort_Median3,random,50000,4,2658,895280
QuickSort_Median3,random,50000,5,2678,875119
HeapSort,random,50000,1,3787,1409736
HeapSort,random,50000,2,3867,1410008
HeapSort,random,50000,3,3744,1410161
HeapSort,random,50000,4,3716,1409739
HeapSort,random,50000,5,3799,1409870
RadixSort,random,50000,1,1372,0
RadixSort,random,50000,2,1306,0
RadixSort,random,50000,3,1297,0
RadixSort,random,50000,4,1365,0
RadixSort,random,50000,5,1314,0
InsertionSort,increasing,50000,1,46,49999
InsertionSort,increasing,50000,2,43,49999
InsertionSort,increasing,50000,3,43,49999
InsertionSort,increasing,50000,4,45,49999
InsertionSort,increasing,50000,5,55,49999
MergeSort,increasing,50000,1,977,401952
MergeSort,increasing,50000,2,908,401952
MergeSort,increasing,50000,3,922,401952
MergeSort,increasing,50000,4,904,401952
MergeSort,increasing,50000,5,909,401952
QuickSort_First,increasing,50000,1,414512,1249975000
QuickSort_First,increasing,50000,2,417620,1249975000
QuickSort_First,increasing,50000,3,412148,1249975000
QuickSort_First,increasing,50000,4,404685,1249975000
QuickSort_First,increasing,50000,5,404555,1249975000
QuickSort_Random,increasing,50000,1,1345,933315
QuickSort_Random,increasing,50000,2,1329,933315
QuickSort_Random,increasing,50000,3,1461,933315
QuickSort_Random,increasing,50000,4,1308,933315
QuickSort_Random,increasing,50000,5,1289,933315
QuickSort_Median3,increasing,50000,1,572,782782
QuickSort_Median3,increasing,50000,2,642,782782
QuickSort_Median3,increasing,50000,3,603,782782
QuickSort_Median3,increasing,50000,4,602,782782
QuickSort_Median3,increasing,50000,5,595,782782
HeapSort,increasing,50000,1,3261,1455438
HeapSort,increasing,50000,2,3265,1455438
HeapSort,increasing,50000,3,3290,1455438
HeapSort,increasing,50000,4,3310,1455438
HeapSort,increasing,50000,5,3297,1455438
RadixSort,increasing,50000,1,1052,0
RadixSort,increasing,50000,2,1066,0
RadixSort,increasing,50000,3,1041,0
RadixSort,increasing,50000,4,1047,0
RadixSort,increasing,50000,5,1034,0
InsertionSort,decreasing,50000,1,501580,1249975000
InsertionSort,decreasing,50000,2,501205,1249975000
InsertionSort,decreasing,50000,3,510135,1249975000
InsertionSort,decreasing,50000,4,498576,1249975000
InsertionSort,decreasing,50000,5,499643,1249975000
MergeSort,decreasing,50000,1,1119,382512
MergeSort,decreasing,50000,2,1021,382512
MergeSort,decreasing,50000,3,997,382512
MergeSort,decreasing,50000,4,922,382512
MergeSort,decreasing,50000,5,909,382512
QuickSort_First,decreasing,50000,1,628082,1249975000
QuickSort_First,decreasing,50000,2,622288,1249975000
QuickSort_First,decreasing,50000,3,620461,1249975000
QuickSort_First,decreasing,50000,4,619814,1249975000
QuickSort_First,decreasing,50000,5,652967,1249975000
QuickSort_Random,decreasing,50000,1,1531,929262
QuickSort_Random,decreasing,50000,2,1502,929262
QuickSort_Random,decreasing,50000,3,1596,929262
QuickSort_Random,decreasing,50000,4,1656,929262
QuickSort_Random,decreasing,50000,5,1511,929262
QuickSort_Median3,decreasing,50000,1,1327,1504807
QuickSort_Median3,decreasing,50000,2,1315,1504807
QuickSort_Median3,decreasing,50000,3,1311,1504807
QuickSort_Median3,decreasing,50000,4,1239,1504807
QuickSort_Median3,decreasing,50000,5,1256,1504807
HeapSort,decreasing,50000,1,3009,1366047
HeapSort,decreasing,50000,2,3085,1366047
HeapSort,decreasing,50000,3,3067,1366047
HeapSort,decreasing,50000,4,3097,1366047
HeapSort,decreasing,50000,5,2943,1366047
RadixSort,decreasing,50000,1,985,0
RadixSort,decreasing,50000,2,991,0
RadixSort,decreasing,50000,3,938,0
RadixSort,decreasing,50000,4,970,0
RadixSort,decreasing,50000,5,955,0
InsertionSort,random,100000,1,1004632,2492579603
InsertionSort,random,100000,2,1001387,2495805703
InsertionSort,random,100000,3,994831,2492294310
InsertionSort,random,100000,4,1020358,2505976263
InsertionSort,random,100000,5,1028988,2495978300
MergeSort,random,100000,1,7182,1536242
MergeSort,random,100000,2,7242,1535918
MergeSort,random,100000,3,7263,1536552
MergeSort,random,100000,4,7218,1536306
MergeSort,random,100000,5,7050,1536312
QuickSort_First,random,100000,1,5579,2051205
QuickSort_First,random,100000,2,5593,1929958
QuickSort_First,random,100000,3,5533,1949993
QuickSort_First,random,100000,4,5506,2129449
QuickSort_First,random,100000,5,5581,2098753
QuickSort_Random,random,100000,1,6117,1979861
QuickSort_Random,random,100000,2,6173,1991115
QuickSort_Random,random,100000,3,6251,1968905
QuickSort_Random,random,100000,4,6252,1963542
QuickSort_Random,random,100000,5,6173,1959481
QuickSort_Median3,random,100000,1,5674,1874098
QuickSort_Median3,random,100000,2,5590,1873312
QuickSort_Median3,random,100000,3,5466,1900779
QuickSort_Median3,random,100000,4,5663,1928163
QuickSort_Median3,random,100000,5,5603,1898800
HeapSort,random,100000,1,8550,3019623
HeapSort,random,100000,2,8065,3019795
HeapSort,random,100000,3,8329,3019686
HeapSort,random,100000,4,7914,3019099
HeapSort,random,100000,5,8277,3019847
RadixSort,random,100000,1,2586,0
RadixSort,random,100000,2,2461,0
RadixSort,random,100000,3,2479,0
RadixSort,random,100000,4,2937,0
RadixSort,random,100000,5,2559,0
InsertionSort,increasing,100000,1,94,99999
InsertionSort,increasing,100000,2,93,99999
InsertionSort,increasing,100000,3,140,99999
InsertionSort,increasing,100000,4,87,99999
InsertionSort,increasing,100000,5,87,99999
MergeSort,increasing,100000,1,1873,853904
MergeSort,increasing,100000,2,1834,853904
MergeSort,increasing,100000,3,1884,853904
MergeSort,increasing,100000,4,1908,853904
MergeSort,increasing,100000,5,1824,853904
QuickSort_First,increasing,100000,1,1649384,4999950000
QuickSort_First,increasing,100000,2,1642521,4999950000
QuickSort_First,increasing,100000,3,1714484,4999950000
QuickSort_First,increasing,100000,4,1667984,4999950000
QuickSort_First,increasing,100000,5,1627965,4999950000
QuickSort_Random,increasing,100000,1,2885,2047278
QuickSort_Random,increasing,100000,2,2743,2047278
QuickSort_Random,increasing,100000,3,2638,2047278
QuickSort_Random,increasing,100000,4,2659,2047278
QuickSort_Random,increasing,100000,5,2682,2047278
QuickSort_Median3,increasing,100000,1,1163,1665551
QuickSort_Median3,increasing,100000,2,1152,1665551
QuickSort_Median3,increasing,100000,3,1195,1665551
QuickSort_Median3,increasing,100000,4,1142,1665551
QuickSort_Median3,increasing,100000,5,1165,1665551
HeapSort,increasing,100000,1,7126,3112517
HeapSort,increasing,100000,2,7115,3112517
HeapSort,increasing,100000,3,6997,3112517
HeapSort,increasing,100000,4,7115,3112517
HeapSort,increasing,100000,5,7229,3112517
RadixSort,increasing,100000,1,2164,0
RadixSort,increasing,100000,2,2024,0
RadixSort,increasing,100000,3,2002,0
RadixSort,increasing,100000,4,1966,0
RadixSort,increasing,100000,5,2040,0
InsertionSort,decreasing,100000,1,2027528,4999950000
InsertionSort,decreasing,100000,2,1990715,4999950000
InsertionSort,decreasing,100000,3,1996913,4999950000
InsertionSort,decreasing,100000,4,1998867,4999950000
InsertionSort,decreasing,100000,5,2000380,4999950000
MergeSort,decreasing,100000,1,1920,815024
MergeSort,decreasing,100000,2,1963,815024
MergeSort,decreasing,100000,3,1979,815024
MergeSort,decreasing,100000,4,2013,815024
MergeSort,decreasing,100000,5,1849,815024
QuickSort_First,decreasing,100000,1,2491214,4999950000
QuickSort_First,decreasing,100000,2,2493651,4999950000
QuickSort_First,decreasing,100000,3,2484017,4999950000
QuickSort_First,decreasing,100000,4,2479956,4999950000
QuickSort_First,decreasing,100000,5,2479571,4999950000
QuickSort_Random,decreasing,100000,1,2987,2095694
QuickSort_Random,decreasing,100000,2,2963,2095694
QuickSort_Random,decreasing,100000,3,3045,2095694
QuickSort_Random,decreasing,100000,4,3076,2095694
QuickSort_Random,decreasing,100000,5,3054,2095694
QuickSort_Median3,decreasing,100000,1,2768,3259375
QuickSort_Median3,decreasing,100000,2,2661,3259375
QuickSort_Median3,decreasing,100000,3,2687,3259375
QuickSort_Median3,decreasing,100000,4,2711,3259375
QuickSort_Median3,decreasing,100000,5,2733,3259375
HeapSort,decreasing,100000,1,6602,2926640
HeapSort,decreasing,100000,2,6542,2926640
HeapSort,decreasing,100000,3,6736,2926640
HeapSort,decreasing,100000,4,6698,2926640
HeapSort,decreasing,100000,5,6752,2926640
RadixSort,decreasing,100000,1,2238,0
RadixSort,decreasing,100000,2,2083,0
RadixSort,decreasing,100000,3,2053,0
RadixSort,decreasing,100000,4,2043,0
RadixSort,decreasing,100000,5,2073,0
